Category: All categories

Week,Nike: (Worldwide),adidas: (Worldwide),puma: (Worldwide),asics: (Worldwide),under armour: (Worldwide)
2024-03-17,64,43,14,6,4
2024-03-24,67,44,14,7,4
2024-03-31,67,45,13,7,4
2024-04-07,65,44,12,7,4
2024-04-14,67,42,13,7,4
2024-04-21,64,45,13,7,4
2024-04-28,65,44,13,7,4
2024-05-05,62,41,12,7,4
2024-05-12,61,40,13,7,4
2024-05-19,61,40,13,7,4
2024-05-26,62,40,12,7,4
2024-06-02,61,41,13,7,4
2024-06-09,61,43,12,7,4
2024-06-16,60,41,13,7,4
2024-06-23,58,38,12,7,4
2024-06-30,59,41,12,7,4
2024-07-07,60,40,13,7,4
2024-07-14,65,41,13,8,4
2024-07-21,62,41,14,8,4
2024-07-28,66,38,12,8,4
2024-08-04,68,43,13,9,4
2024-08-11,67,42,14,9,4
2024-08-18,67,44,13,9,4
2024-08-25,65,41,13,8,4
2024-09-01,64,41,13,8,4
2024-09-08,60,40,14,8,4
2024-09-15,58,38,12,8,4
2024-09-22,62,37,13,7,3
2024-09-29,60,40,14,8,4
2024-10-06,59,39,13,7,4
2024-10-13,56,39,12,7,4
2024-10-20,58,37,12,7,3
2024-10-27,59,36,12,7,3
2024-11-03,61,38,13,7,4
2024-11-10,63,39,13,8,4
2024-11-17,74,43,14,8,4
2024-11-24,93,52,16,10,6
2024-12-01,78,43,15,8,5
2024-12-08,76,40,14,8,5
2024-12-15,74,38,13,7,4
2024-12-22,73,40,14,9,4
2024-12-29,64,36,13,8,4
2025-01-05,63,36,13,8,4
2025-01-12,57,34,13,8,4
2025-01-19,55,33,12,7,3
2025-01-26,57,36,12,8,3
2025-02-02,60,35,12,8,3
2025-02-09,57,33,13,8,3
2025-02-16,54,34,12,8,3
2025-02-23,59,34,12,8,3
2025-03-02,60,38,13,9,3
2025-03-09,60,41,15,9,4
2025-03-16,64,41,14,10,4
2025-03-23,63,43,14,10,4
2025-03-30,65,43,14,9,4
2025-04-06,62,44,14,10,3
2025-04-13,60,40,14,10,3
2025-04-20,60,39,13,10,4
2025-04-27,62,40,13,10,4
2025-05-04,61,38,13,10,4
2025-05-11,58,41,14,10,4
2025-05-18,56,36,12,9,3
2025-05-25,59,38,13,10,4
2025-06-01,62,39,14,10,4
2025-06-08,56,38,14,9,4
2025-06-15,55,37,13,9,3
2025-06-22,57,35,13,9,3
2025-06-29,56,35,13,9,4
2025-07-06,58,39,14,10,4
2025-07-13,59,40,13,10,4
2025-07-20,61,39,15,10,4
2025-07-27,64,41,14,11,4
2025-08-03,65,45,15,12,4
2025-08-10,65,41,15,11,4
2025-08-17,67,43,14,12,4
2025-08-24,65,44,15,11,4
2025-08-31,60,44,14,10,4
2025-09-07,56,41,13,9,4
