Category: All categories

Week,Apple iPhone: (United States),Samsung Galaxy: (United States),Google Pixel: (United States)
2025-04-27,28,25,12
2025-05-04,28,28,12
2025-05-11,28,27,12
2025-05-18,28,24,12
2025-05-25,30,26,13
2025-06-01,29,27,12
2025-06-08,32,29,13
2025-06-15,32,30,13
2025-06-22,29,31,13
2025-06-29,30,28,13
2025-07-06,32,35,15
2025-07-13,35,51,17
2025-07-20,41,69,18
2025-07-27,50,100,20
2025-08-03,37,47,17
2025-08-10,34,39,15
2025-08-17,32,29,25
2025-08-24,30,27,20
2025-08-31,34,24,18
2025-09-07,76,25,18
