Category: All categories

Week,Mahindra Scorpio: (India),Maruti Suzuki Brezza: (India),Hyundai Creta: (India)
2025-04-27,9,2,13
2025-05-04,9,2,10
2025-05-11,11,3,12
2025-05-18,11,3,13
2025-05-25,10,3,13
2025-06-01,10,3,13
2025-06-08,11,3,14
2025-06-15,11,3,13
2025-06-22,11,3,13
2025-06-29,10,3,14
2025-07-06,11,3,14
2025-07-13,10,3,14
2025-07-20,10,2,13
2025-07-27,10,2,13
2025-08-03,11,3,14
2025-08-10,12,3,15
2025-08-17,11,3,14
2025-08-24,11,3,14
2025-08-31,13,4,18
2025-09-07,15,4,18
